05/10/2020|L05_02_20201005_42497|L05|Agence Principale|0001014                                 |Chèque UGB          |UBA BANK|64195
05/10/2020|L05_02_20201005_42497|L05|Agence Principale|0002532                                 |Chèque UGB          |UBA BANK|75636
05/10/2020|L05_02_20201005_42497|L05|Agence Principale|3112162                                 |Chèque ECOBANK      |UBA BANK|225880
05/10/2020|L05_02_20201005_42497|L05|Agence Principale|5205667                                 |Chèque BGFI         |UBA BANK|3666847
05/10/2020|L06_01_20201005_42514|L06|Agence Nzeng Ayong|                                        |Espèces|UBA BANK|1248284
05/10/2020|L07_01_20201005_42498|L07|Agence Sainte Marie|                                        |Espèces|UBA BANK|141750
05/10/2020|L07_01_20201005_42500|L07|Agence Sainte Marie|                                        |Espèces|UBA BANK|1278790
05/10/2020|L07_02_20201005_42495|L07|Agence Sainte Marie|0000081                                 |Chèque UGB          |UBA BANK|25000
05/10/2020|L07_02_20201005_42495|L07|Agence Sainte Marie|3200102                                 |Chèque ECOBANK      |UBA BANK|25213
05/10/2020|L08_01_20201005_42515|L08|Agence Owendo|                                        |Espèces|UBA BANK|3188264
05/10/2020|L08_02_20201005_42517|L08|Agence Owendo|0661639                                 |Chèque UBA          |UBA BANK|272286
05/10/2020|L08_02_20201005_42517|L08|Agence Owendo|6926018                                 |Chèque BICIG        |UBA BANK|358211
05/10/2020|L08_02_20201005_42517|L08|Agence Owendo|7357452                                 |Chèque BGFI         |UBA BANK|411381
05/10/2020|L10_01_20201005_42492|L10|Agence Carrefour SNI|                                        |Espèces|UBA BANK|97813
05/10/2020|L11_01_20201005_42511|L11|Agence Franceville|                                        |Espèces|UGB BANK|823443
05/10/2020|L12_01_20201005_42522|L12|Agence Port-Gentil|                                        |Espèces|UGB BANK|2878523
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|0001128                                 |Chèque UGB          |BGFI BANK|136547
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|0619261                                 |Chèque UBA          |BGFI BANK|148226
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|2388491                                 |Chèque BICIG        |BGFI BANK|57000
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|3077815                                 |Chèque ORABANK      |BGFI BANK|159036
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|5212846                                 |Chèque BGFI         |BGFI BANK|14280
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|5212847                                 |Chèque BGFI         |BGFI BANK|14280
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|6711161                                 |Chèque BICIG        |BGFI BANK|132090
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|6920290                                 |Chèque BGFI         |BGFI BANK|45381
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|6920294                                 |Chèque BGFI         |BGFI BANK|45381
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|6955478                                 |Chèque BICIG        |BGFI BANK|99031
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|7114481                                 |Chèque BGFI         |BGFI BANK|83401
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|7114482                                 |Chèque BGFI         |BGFI BANK|83401
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|7174215                                 |Chèque BGFI         |BGFI BANK|526121
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|7309031                                 |Chèque UGB          |BGFI BANK|118697
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|7309034                                 |Chèque UGB          |BGFI BANK|118697
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|7761986                                 |Chèque UGB          |BGFI BANK|90359
05/10/2020|L12_02_20201005_42523|L12|Agence Port-Gentil|9852834                                 |Chèque UGB          |BGFI BANK|1282480
05/10/2020|L13_01_20201005_42504|L13|Agence Koulamoutou|                                        |Espèces|ORABANK Recettes|4277420
05/10/2020|L14_01_20201005_42488|L14|Agence Oyem|                                        |Espèces|UGB BANK|4347000
05/10/2020|L15_01_20201005_42507|L15|Agence Lambaréné|                                        |Espèces|   BGFI BANK                            |84413
05/10/2020|L16_01_20201005_42513|L16|Agence Mouila|                                        |Espèces|BICIG BANK|1154161
05/10/2020|L17_01_20201005_42496|L17|Agence Moanda|                                        |Espèces|   BGFI BANK                            |1136704
05/10/2020|L22_01_20201005_42510|L22|Agence Mbolo|                                        |Espèces|ORABANK Recettes|2692119
05/10/2020|L22_02_20201005_42506|L22|Agence Mbolo|3124863                                 |Chèque ECOBANK      |ORABANK Recettes|285334
05/10/2020|L25_01_20201005_42505|L25|Agence AVORBAM|                                        |Espèces|BGFI BANK|1987167
05/10/2020|L25_02_20201005_42501|L25|Agence AVORBAM|7852138                                 |Chèque UGB          |BGFI BANK|55467
05/10/2020|L29_01_20201005_42516|L29|Agence FTTH|                                        |Espèces|UBA BANK|4465600
05/10/2020|L29_02_20201005_42518|L29|Agence FTTH|6676121                                 |Chèque BICIG        |UBA BANK|226047
05/10/2020|L32_02_20201006_42529|L32|DCM - distribution|5877218                                 |Chèque UGB          |UGB BANK|72900000
05/10/2020|L32_02_20201006_42528|L32|DCM - distribution|6929465                                 |Chèque BICIG        |UGB BANK|94500000
05/10/2020|L32_02_20201006_42529|L32|DCM - distribution|6929466                                 |Chèque BICIG        |UGB BANK|40500000
05/10/2020|L32_04_20201006_42527|L32|DCM - distribution|884610                                  |BGFI  Virement      |BGFI BANK|1001700
05/10/2020|L32_04_20201006_42527|L32|DCM - distribution|884615                                  |BGFI  Virement      |BGFI BANK|11340000
05/10/2020|L39_01_20201005_42490|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|217690
05/10/2020|L39_01_20201005_42491|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|31099950
05/10/2020|L40_01_20201005_42509|L40|Agence Gamba|                                        |Espèces|BICIG BANK|271760
05/10/2020|L79_01_20201005_42485|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|670950
05/10/2020|L79_01_20201005_42486|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|45000
05/10/2020|L80_01_20201005_42524|L80|Agence Bitam|                                        |Espèces|UGB BANK|66150
05/10/2020|L80_01_20201005_42525|L80|Agence Bitam|                                        |Espèces|UGB BANK|96609
05/10/2020|L87_01_20201005_42519|L87|Agence PK8|                                        |Espèces|UBA BANK|828779
05/10/2020|M02_01_20201005_42499|M02|Agence Awendje|                                        |Espèces|UBA BANK|103950
05/10/2020|M02_01_20201005_42508|M02|Agence Awendje|                                        |Espèces|UBA BANK|884748
06/10/2020|L02_01_20201006_42533|L02|Agence Okala|                                        |Espèces|BGFI BANK|350516
06/10/2020|L03_01_20201006_42576|L03|Agence des Arcades|                                        |Espèces|UBA BANK|4104878
